Rank,Name,Site,Country,Power (kW),Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Computer,Year,Latitude,Longitude
398,occigen2,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),France,1430.0,85824,2494.65,3570.278,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",2016,46.453571,4.564357
399,Crash1,Automotive Company,Sweden,,40448,2490.39,3365.27,"ThinkSystem SD650 V2, Xeon Platinum 8358 32C 2.6GHz, Mellanox HDR Infiniband",2022,62.0,15.0
400,,Service Provider T,China,,61440,2487.09,4915.2,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2020,35.0,105.0
401,Excalibur,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),United States,1465.78,100064,2485.0,3682.3552,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",2014,36.341432,-83.338693
402,CLAIX (2018),Universitaet Aachen/RWTH - IT Center,Germany,692.05,61200,2483.58,4112.64,"INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",2018,51.5,10.5
403,Expanse,UCSD/San Diego Supercomputer Center,United States,,91648,2480.6,3299.33,"PowerEdge R6525/C6525, AMD EPYC 7742, AMD EPYC 7742 64C, Mellanox HDR Infiniband",2020,32.741644,-117.179792
404,,Manufacturing Industry (O),China,,50400,2480.0,4680.0,"Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet",2020,35.0,105.0
405,,Manufacturing Industry (O),China,,50400,2480.0,4680.0,"Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet",2020,35.0,105.0
406,Lomonosov 2,Moscow State University - Research Computing Center,Russia,,64384,2478.0,4946.79,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100",2014,60.0,100.0
407,Kay,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),United States,,46848,2475.67,3448.01,"Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR",2020,36.341432,-83.338693
408,B1,Service Provider T,China,,60000,2462.4,4800.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
409,Centennial,US Army Research Laboratory (ARL),United States,835.0,73920,2443.7,2601.984,"SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR",2017,35.460274,-81.253072
410,Greene-H100,New York University,United States,51.69,9360,2436.0,3127.68,"ThinkSystem SD665-N V3, AMD EPYC 9454 48C 2.75GHz, NVIDIA H100 80GB, Infiniband HDR",2024,40.7292053,-73.9950148
411,PAI-ASystem,China Meteorological Administration,China,740.0,48128,2435.0,4004.25,"Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR",2017,35.0,105.0
412,C1,Service Provider T,China,,59200,2433.83,4736.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
413,Big Red 200,Indiana University,United States,,84480,2431.2,3041.28,"HPE Cray EX425, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",2020,39.1802358,-86.5093526
414,,DJIT Company,China,,115200,2429.15,4239.36,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",2020,35.0,105.0
415,Sol,Arizona State University,United States,,41856,2423.0,3508.0,"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100 SXM4 80 GB, MT28908 ConnectX-6 200 Gib/s",2023,33.4213174,-111.9331631
416,D1,Service Provider T,China,,58800,2421.62,4704.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
417,,Service Provider T,China,,113600,2399.59,4180.48,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",2020,35.0,105.0
418,E1,Service Provider T,China,,58000,2392.38,4640.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
419,Cannon2-A100,Harvard University,United States,87.32,17856,2384.0,2806.82,"ThinkSystem SD650-N V2, Intel Xeon Platinum 8362 32C 2.8GHz, NVIDIA HGX A100 80GB 500W, Infiniband HDR",2023,42.3657432,-71.1222139
420,,Service Provider T,China,,58560,2379.87,4684.8,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2020,35.0,105.0
421,,Service Provider T,China,,112000,2374.04,4121.6,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",2020,35.0,105.0
422,B2F,Software Company MNED,Netherlands,,53760,2363.77,4644.86,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,52.25,5.75
423,B2E,Software Company MNED,Netherlands,,53760,2363.77,4644.86,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,52.25,5.75
424,B2B,Software Company MNED,Netherlands,,53760,2363.77,4644.86,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,52.25,5.75
425,B2D,Software Company MUS,United States,,53760,2363.77,4644.86,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,40.397611,-105.097685
426,B2C,Software Company MUS,United States,,53760,2363.77,4644.86,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,40.397611,-105.097685
427,B2A,Software Company MUS,United States,,53760,2363.77,4644.86,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,40.397611,-105.097685
428,NOG1,Software Company MGER,Germany,,53760,2363.76,4644.86,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom",2022,51.5,10.5
429,NON1,Software Company MNED,Netherlands,,53760,2363.76,4644.86,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom",2022,52.25,5.75
430,NOUK1,Software Company MUK,United Kingdom,,53760,2363.76,4644.86,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom",2022,54.75844,-2.69531
431,NVIDIA DGX SuperPOD,NVIDIA Corporation,United States,89.94,19840,2356.0,2812.8,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",2020,30.4801362,-97.7931805
432,ZZ1,Service Provider T,China,,153600,2354.91,10321.92,"ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet",2020,35.0,105.0
433,A12A,Software Company MIR,Ireland,,69120,2348.44,4644.86,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,53.0,-8.0
434,A11A,Software Company MIR,Ireland,,69120,2348.44,4644.86,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,53.0,-8.0
435,A17A,Software Company MNY,Norway,,69120,2348.44,4644.86,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,62.0,10.0
436,A17A,Software Company MSW,Switzerland,,69120,2348.44,4644.86,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,47.00016,8.01427
437,UK2,Software Company MUK,United Kingdom,,69120,2348.44,4644.86,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,54.75844,-2.69531
438,UK1,Software Company MUK,United Kingdom,,69120,2348.44,4644.86,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,54.75844,-2.69531
439,B1B,Software Company MUS,United States,,69120,2348.44,4644.86,"ThinkSystem C2397, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
440,A10A,Software Company MUS,United States,,69120,2348.44,4644.86,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
441,A4A,Software Company MUS,United States,,69120,2348.44,4644.86,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
442,Ares,Cyfronet,Poland,486.85,37824,2338.79,3510.07,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",2021,52.1238555,21.3362914
443,,Internet Company,China,,48160,2336.0,4368.0,"Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet",2020,35.0,105.0
444,,Internet Company,China,,48160,2336.0,4368.0,"Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet",2020,35.0,105.0
445,Baskerville,University of Birmingham,United Kingdom,,26208,2335.48,4343.54,"ThinkSystem SR670 V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Infiniband HDR",2021,52.4522956,-1.9312857
446,HoreKa-Blue,Karlsruher Institut für Technologie (KIT) ,Germany,494.51,45752,2333.51,3513.75,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, Mellanox HDR Infiniband",2021,49.1018534,8.4331202
447,,Internet Service P,China,,53760,2329.0,4480.0,"Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",2020,35.0,105.0
448,,Internet Service P,China,,53760,2329.0,4480.0,"Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",2020,35.0,105.0
449,,Internet Service P,China,,53760,2329.0,4480.0,"Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",2020,35.0,105.0
450,Makman-3,Saudi Aramco,Saudi Arabia,608.0,53300,2322.46,3581.76,"PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",2018,23.9494015,38.2920459
451,Champollion,Hewlett Packard Enterprise,France,60.2,19840,2321.0,2522.272,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",2022,45.896045,6.719227
452,F1,Service Provider T,China,,56000,2317.95,4480.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
453,,Energy Company B,China,,49920,2316.0,4412.1,"Inspur TS10000 HPC Server, Xeon Gold 6226R 16C 2.9GHz, NVIDIA Tesla V100, 25G Ethernet",2020,34.294325,109.1196978
454,,Service Provider T,China,,108800,2314.21,4003.84,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",2020,35.0,105.0
455,VSC-5,Vienna Scientific Cluster,Austria,516.0,95232,2312.3,3047.424,"MEGWARE SLIDESX, AMD EPYC 7713 64C 2GHz, Infiniband HDR",2022,47.33333,13.33333
456,Taiwania 3,National Center for High Performance Computing,Taiwan,563.85,50400,2297.56,4354.56,"QCT QuantaPlex T42D-2U/4N, Xeon Platinum 8280 28C 2.7GHz, InfiniBand HDR 100",2020,24.7826067,120.9956004
457,Longhorn,Texas Advanced Computing Center/Univ. of Texas,United States,,37440,2288.0,2867.405,"IBM Power System AC922, IBM POWER9 20C 3.6GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",2019,31.79426,-94.174438
458,Wilkes-3,University of Cambridge,United Kingdom,74.26,26880,2287.0,6641.41,"PowerEdge XE8545, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 80GB​, Infiniband HDR200 dual rail",2021,52.2109456,0.092005
459,,Internet Service P,China,,55104,2287.0,4890.0,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",2017,35.0,105.0
460,MeluXina - Cluster Module,LuxProvide,Luxembourg,377.21,73344,2286.56,3003.18,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox HDR200 InfiniBand/ParTec ParaStation ClusterSuite",2021,49.7870718,6.0897434
461,,Telecom Operator (C),China,,47320,2282.0,4368.0,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",2020,35.0,105.0
462,,Telecom Operator (C),China,,47320,2282.0,4368.0,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",2020,35.0,105.0
463,,Telecom Operator (C),China,,47320,2282.0,4368.0,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",2020,35.0,105.0
464,,Telecom Operator (C),China,,47320,2282.0,4368.0,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",2020,35.0,105.0
465,Béluga,Calcul Québec/Compute Canada,Canada,240.0,72480,2278.0,7494.784,"Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR",2019,,
466,,Research Laboratory H,China,,40560,2276.0,3923.71,"Inspur TS10000 HPC Server, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, InfiniBand HDR 100",2020,22.4273197,114.2032796
467,,AI company J,China,,40800,2275.0,3905.28,"Inspur TS10000 HPC Server, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100, Infiniband HDR",2020,35.0,105.0
468,SSC-21 Scalable Module,Samsung Electronics,South Korea,103.01,16704,2274.1,2597.82,"Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200",2021,36.7699807,127.0630792
469,Sol,Arizona State University,United States,,41856,2272.0,3316.0,"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100 SXM4 80 GB, MT28908 ConnectX-6 200 Gib/s",2023,33.4213174,-111.9331631
470,Cumulus,University of Cambridge,United Kingdom,530.0,50176,2271.38,2688.0,"PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path",2018,52.2109456,0.092005
471,CEA-HFi,Commissariat a l'Energie Atomique (CEA),France,,73728,2262.0,2890.14,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",2021,45.1996822,5.7031246
472,MTS GROM,#CloudMTS,Russia,,19840,2258.0,3011.84,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Infiniband",2021,60.0,100.0
473,Tethys,NVIDIA Corporation,United States,71.5,19840,2255.0,2680.0,"NVIDIA DGX A100 Liquid Cooled Prototype, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",2021,30.4801362,-97.7931805
474,Makman-2,Saudi Aramco,Saudi Arabia,1134.0,76032,2249.68,3041.28,"Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR",2015,23.9494015,38.2920459
475,G1,Service Provider T,China,,54000,2242.94,4320.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
476,,Service Provider T,China,,57600,2241.88,4608.0,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",2021,35.0,105.0
477,Alex6,Atos,France,,26880,2223.0,3984.84,"EVIDEN BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Quad-rail EVIDEN BXI",2023,47.8528227,1.9111125
478,UltraViolet,NYU Langone Health,United States,,17640,2209.0,4358.28,"PowerEdge R750XA Server, AMD EPYC 7402 24C 2.8GHz, NVIDIA H100 80GB PCIe, Mellanox HDR Infiniband",2018,40.7434467,-73.9722189
479,,Internet Company,China,740.0,67200,2192.0,4515.84,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",2019,35.0,105.0
480,,Bank G,China,,50400,2189.0,4816.0,"Inspur NF5468M5, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",2020,35.0,105.0
481,MN-3,Preferred Networks,Japan,53.29,1664,2179.6,3347.58,"MN-Core Server, Xeon Platinum 8260M 24C 2.4GHz, Preferred Networks MN-Core, MN-Core DirectConnect",2020,35.68536,139.75309
482,Marvin (Scalable GPU Partition),University of Bonn,Germany,90.74,17920,2177.0,2627.07,"MEGWARE GPU Server System, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband NDR200",2023,50.7338124,7.1022465
483,Rockfish,Johns Hopkins University,United States,450.0,37392,2175.0,3589.63,"ThinkSystem SD530, Xeon Gold 6248R 24C 3GHz, Infiniband HDR",2020,39.3302022,-76.6218536
484,DA,Dassault,France,,35328,2175.0,2939.29,"ThinkSystem SD630 V2, Xeon Platinum 8358 32C 2.6GHz, InfiniBand HDR100",2024,44.8829372,-0.5719606
485,B4A,Software Company MGER,Germany,,49280,2166.79,4257.79,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,51.5,10.5
486,,Software Company MUS,United States,,49280,2166.79,4257.79,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,40.397611,-105.097685
487,,Software Company MUS,United States,,49280,2166.79,4257.79,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,40.397611,-105.097685
488,H1,Service Provider T,China,,52000,2166.52,4160.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
489,,Internet Service (S),China,,49800,2164.0,4423.68,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",2019,35.0,105.0
490,,Internet Service (S),China,,49800,2164.0,4423.68,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",2019,35.0,105.0
491,,Internet Service (S),China,,49800,2164.0,4423.68,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",2019,35.0,105.0
492,,Service Provider T,China,,128000,2155.99,4300.8,"ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet",2020,35.0,105.0
493,,Internet Company,China,1625.0,121920,2152.0,8973.312,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",2019,35.0,105.0
494,Lise GPU-X,Zuse Institute Berlin,Germany,133.23,21168,2146.0,3508.24,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA HGX A100 80GB 500W, Infiniband HDR200",2023,52.4557414,13.2979865
495,Spartan GPU Partitions,The University of Melbourne,Australia,,33408,2140.0,3007.41,"PowerEdge R750XA, Xeon Gold 6326 16C 2.9GHz, NVIDIA Tesla A100 80G, 100G Ethernet",2022,-37.7960951,144.9614459
496,Hercules,Mississippi State University,United States,,40960,2136.34,3014.66,"PowerEdge C6520, Xeon Platinum 8380 40C 2.3GHz, Infiniband NDR",2022,33.4386876,-88.7943232
497,Phoenix - 2022,University of Adelaide,Australia,68.71,20160,2134.0,3341.18,"ThinkSystem SR670 V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Infiniband HDR",2022,-34.9189226,138.6042367
498,Betty,US Army Research Laboratory (ARL),United States,,94976,2133.0,4406.8864,"Cray CS500, AMD EPYC 7542 32C 2.9GHz, InfiniBand HDR100",2020,35.460274,-81.253072
499,NA3,Software Company,United States,,56448,2132.2,4696.47,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
500,HSUper,Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,Germany,394.7,41832,2129.92,3212.7,"Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100",2022,53.5687706,10.1112157
